Numéro,Pokémon,Forme,Rouge,Bleu,Jaune,Or,Argent,Cristal,Rubis,Saphir,Émeraude,Rouge-Feu,Vert-Feuille,Diamant,Perle,Platine,Or HeartGold,Argent SoulSilver,Noire,Blanche,Noire 2,Blanche 2,X,Y,Rubis Omega,Saphir Alpha,Soleil,Lune,Ultra Soleil,Ultra Lune,Let's Go Evoli,Let's Go Pikachu,Épée,Bouclier,Diamant Étincelant,Perle Scintillante,Légendes Arceus,Écarlate,Violet,Légendes ZA
0355,Skelénox,,,,,,,,"Mont Mémoria, Route 121, Route 123",Mont Mémoria,Mont Mémoria,Indisponible,Indisponible,"Route 224, Grotte RetourPt (Poké Radar, NuitPt)","Route 224, Grotte RetourPt (Poké Radar, NuitPt)","Route 209, Tour Perdue, NuitPt)","Parc Safari (Zone Bois et Lac, avec 28 blocs rocheux, après 40 jours)","Parc Safari (Zone Bois et Lac, avec 28 blocs rocheux, après 40 jours)",Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Mont Mémoria (Intérieur),Mont Mémoria (Intérieur),À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,,,"Route 6, Tour en ruines, Siège du Géant, Miroir du Géant, Coiffe du Géant, Berges de Motorby, Fosse des Sables","Route 6, Tour en ruines, Siège du Géant, Miroir du Géant, Coiffe du Géant, Berges de Motorby, Fosse des Sables","Route 224 (Poké Radar), Grotte Éblouissante, Caverne de la Nuit Étoilée","Route 224 (Poké Radar), Grotte Éblouissante, Caverne de la Nuit Étoilée",??,-,,
0356,Téraclope,,,,,,,,Pilier Céleste,Indisponible,Indisponible,Indisponible,Indisponible,Route 224,Route 224,"Source Adieu, Grotte Retour (Poké RadarDP)","Parc Safari (Zone Montagne, avec 18 blocs sylvestres, après 20 jours)","Parc Safari (Zone Montagne, avec 18 blocs sylvestres, après 20 jours)",Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,,,"Route 6, Tour en ruines, Siège du Géant, Expédition Dynamax","Route 6, Tour en ruines, Siège du Géant, Expédition Dynamax","Route 224 (Poké Radar), Grotte Éblouissante, Caverne de la Nuit Étoilée","Route 224 (Poké Radar), Grotte Éblouissante, Caverne de la Nuit Étoilée",??,-,,
0357,Tropius,,,,,,,,Route 119,Route 119,Route 119,Indisponible,Indisponible,Indisponible,Indisponible,Grand Marais (occasionnel),Pokéwalker (Grande Forêt),Pokéwalker (Grande Forêt),Route 14,Route 14,Route 18,Route 18,Indisponible,Indisponible,"Route 119, Route 120","Route 119, Route 120",Échange,Échange,Île Noadkoko,Île Noadkoko,,,Incompatible,Incompatible,"Grotte de la Prairie, Grotte du Marécage, Caverne Ensoleillée, Caverne du Marais Sans Fond","Grotte de la Prairie, Grotte du Marécage, Caverne Ensoleillée, Caverne du Marais Sans Fond",Incompatible,,,
0358,Éoko,,,,,,,,Mont Mémoria (Sommet Nord),Mont Mémoria (Sommet Nord),Mont Mémoria (Sommet Nord),Indisponible,Indisponible,"Mont Couronné, Source Adieu","Mont Couronné, Source Adieu","Mont Couronné, Grotte Retour","Parc Safari (Zone Bois et Lac, avec 15 blocs sylvestres, immédiatement)","Parc Safari (Zone Bois et Lac, avec 15 blocs sylvestres, immédiatement)",Autel Abondance,Autel Abondance,Indisponible,Indisponible,Indisponible,Indisponible,Mont Mémoria (Sommet),Mont Mémoria (Sommet),À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,,,Incompatible,Incompatible,"Mont Couronné, Source Adieu","Mont Couronné, Source Adieu",??,-,,
0359,Absol,,,,,,,,Route 120,Route 120,Route 120,Indisponible,Indisponible,Route 213 (Essaim),Route 213 (Essaim),Mont Couronné (Extérieur),"Puits Ramoloss, Caves Jumelles, Grotte Argentée, Antre Noir, Tourb'Îles, Route de Glace, Grotte Falaise, Cave Taupiqueur, Mont Sélénite, Caverne Azurée, Grotte, Îles Écume, Route Victoire, Chutes Tohjo (Son Hoenn, le Mercredi)","Puits Ramoloss, Caves Jumelles, Grotte Argentée, Antre Noir, Tourb'Îles, Route de Glace, Grotte Falaise, Cave Taupiqueur, Mont Sélénite, Caverne Azurée, Grotte, Îles Écume, Route Victoire, Chutes Tohjo (Son Hoenn, le Mercredi)","Route 13, Grotte Cyclopéenne*","Route 13, Grotte Cyclopéenne*","Route 13, Route 14, Trouée Cachée (Route 23*)","Route 13, Route 14, Trouée Cachée (Route 23*)",Route 8,Route 8,Route 120,Route 120,"Village Toko, Mont Lanakila","Village Toko, Mont Lanakila","Village Toko, Mont Lanakila","Village Toko, Mont Lanakila",,,"Repos du Géant, Cimetière Ancien, Pente Enneigée, Sentier Blanche-Cime, Empreinte du Géant, Mer Banquise, Croisée Trois-Voies, Plaine Granfroy, Expédition Dynamax","Repos du Géant, Cimetière Ancien, Pente Enneigée, Sentier Blanche-Cime, Empreinte du Géant, Mer Banquise, Croisée Trois-Voies, Plaine Granfroy, Expédition Dynamax","Route 213 (troupeau), Grotte Spacieuse, Grotte de la Prairie, Grotte Éblouissante, Caverne Ensoleillée, Caverne du Piton, Caverne de la Nuit Étoilée","Route 213 (troupeau), Grotte Spacieuse, Grotte de la Prairie, Grotte Éblouissante, Caverne Ensoleillée, Caverne du Piton, Caverne de la Nuit Étoilée",Incompatible,,,
0360,Okéoké,,,,,,,,"Île Mirage, Œuf donné à Vermilava","Île Mirage, Œuf donné à Vermilava","Île Mirage, Œuf donné à Vermilava",Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Route 2 (Troupeau),Route 2 (Troupeau),Indisponible,Indisponible,Indisponible,Indisponible,Œuf donné à Vermilava,Œuf donné à Vermilava,À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,,,Faire reproduire Qulbutoké en tenant un Encens Doux,Faire reproduire Qulbutoké en tenant un Encens Doux,Faire reproduire Qulbutoké en tenant un Encens Doux,Faire reproduire Qulbutoké en tenant un Encens Doux,Incompatible,,,
0361,Stalgamin,,,,,,,,Grotte Tréfonds (Étage gelé),Grotte Tréfonds (Étage gelé),Grotte Tréfonds (Étage gelé),Indisponible,Indisponible,"Route 216, Route 217, Rive Lac Savoir, Lac SavoirPt (Poké Radar, NuitPt)","Route 216, Route 217, Rive Lac Savoir, Lac SavoirPt (Poké Radar, NuitPt)","Route 216, Route 217, Rive Lac Savoir, NuitPt)",Pokéwalker (Pente Glaciale),Pokéwalker (Pente Glaciale),Indisponible,Indisponible,Indisponible,Indisponible,"Safari des Amis Glace, position 1 (2509-8496-8179)","Safari des Amis Glace, position 1 (2509-8496-8179)",Grotte Tréfonds (marée basse),Grotte Tréfonds (marée basse),"Village Toko, Mont Lanakila","Village Toko, Mont Lanakila","Village Toko, Mont Lanakila","Village Toko, Mont Lanakila",,,"Route 8, Plaine Verdoyante, Bois de Clairjour, Lac Coupenotte Ouest, Lac Coupenotte Est, Tour en ruines, Lac Milobellus Nord, Lac Milobellus Sud, Siège du Géant, Coiffe du Géant, Plateau de Kickenham, Repos du Géant, Pente Enneigée, Galeries Monte-Pic, Empreinte du Géant","Route 8, Plaine Verdoyante, Bois de Clairjour, Lac Coupenotte Ouest, Lac Coupenotte Est, Tour en ruines, Lac Milobellus Nord, Lac Milobellus Sud, Siège du Géant, Coiffe du Géant, Plateau de Kickenham, Repos du Géant, Pente Enneigée, Galeries Monte-Pic, Empreinte du Géant","Route 216 (Poké Radar), Route 217 (Poké Radar), Rive Lac Savoir (Poké Radar), Grotte du Blizzard, Grotte des Stalactites, Caverne du Glacier","Route 216 (Poké Radar), Route 217 (Poké Radar), Rive Lac Savoir (Poké Radar), Grotte du Blizzard, Grotte des Stalactites, Caverne du Glacier",??,-,,
0362,Oniglali,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Intrusion* (Stalgamin*),Intrusion* (Stalgamin*),Mont Lanakila,Mont Lanakila,,,"Route 9, Route 10, Lac Ouragan, Coiffe du Géant, Siège du Géant, Tour en ruines, Plateau Beau-Gant, Repos du Géant, Pente Enneigée, Expédition Dynamax","Route 9, Route 10, Lac Ouragan, Coiffe du Géant, Siège du Géant, Tour en ruines, Plateau Beau-Gant, Repos du Géant, Pente Enneigée, Expédition Dynamax","Grotte du Blizzard, Grotte des Stalactites, Caverne du Glacier","Grotte du Blizzard, Grotte des Stalactites, Caverne du Glacier",??,,,
0363,Obalie,,,,,,,,Grotte Tréfonds (Marche et Surf),Grotte Tréfonds (Marche et Surf),Grotte Tréfonds (Marche et Surf),Indisponible,Indisponible,Indisponible,"Chenal 226, Chenal 230 (Surf), Reproduction de Phogleur ou Kaimorse",Reproduction de Phogleur ou Kaimorse,"Parc Safari (Zone Rochers, avec 18 blocs aquatiques, après 40 jours)","Parc Safari (Zone Rochers, avec 18 blocs aquatiques, après 40 jours)","Baie Vaguelone (Surf, Hiver seulement)","Baie Vaguelone (Surf, Hiver seulement)","Baie Vaguelone (Surf, Hiver seulement), Trouée Cachée (Route 13*)","Baie Vaguelone (Surf, Hiver seulement), Trouée Cachée (Route 13*)","Safari des Amis Glace, position 1 (0577-0299-6824)","Safari des Amis Glace, position 1 (0577-0299-6824)",Grotte Tréfonds (Marche et Horde),Grotte Tréfonds (Marche et Horde),"Scanner des Îles : Lundi, Route 7","Scanner des Îles : Lundi, Route 7","Scanner des Îles : Lundi, Route 7","Scanner des Îles : Lundi, Route 7",,,Mer Banquise,Mer Banquise,Faire reproduire Kaimorse,"Grotte du Blizzard, Grotte des Stalactites, Caverne du GlacierPS Surf : Chenal 226, Chenal 230",??,,,
0364,Phogleur,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,"Chenal 226, Chenal 230 (Surf)",Chenal 230 (Surf),"Parc Safari (Zone Montagne, avec 17 blocs aquatiques et 7 blocs rocheux, après 80 jours)","Parc Safari (Zone Montagne, avec 17 blocs aquatiques et 7 blocs rocheux, après 80 jours)","Baie Vaguelone (Surf tourbillon, Hiver seulement)","Baie Vaguelone (Surf tourbillon, Hiver seulement)","Baie Vaguelone (Surf tourbillon, Hiver seulement)","Baie Vaguelone (Surf tourbillon, Hiver seulement)",Indisponible,Indisponible,Grotte Tréfonds,Grotte Tréfonds,Faire évoluer Obalie (niveau 32),Faire évoluer Obalie (niveau 32),Faire évoluer Obalie (niveau 32),Faire évoluer Obalie (niveau 32),,,"Mer Banquise, Expédition Dynamax","Mer Banquise, Expédition Dynamax",Faire évoluer Obalie (Niveau 32),"Grotte du Blizzard, Grotte des Stalactites, Caverne du GlacierPS Surf : Chenal 226, Chenal 230",??,,,
0365,Kaimorse,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,"Baie Vaguelone (Surf tourbillon, Hiver seulement)","Baie Vaguelone (Surf tourbillon, Hiver seulement)","Baie Vaguelone (Surf tourbillon, Hiver seulement)","Baie Vaguelone (Surf tourbillon, Hiver seulement)",Indisponible,Indisponible,Indisponible,Indisponible,Faire évoluer Phogleur (niveau 44),Faire évoluer Phogleur (niveau 44),Faire évoluer Phogleur (niveau 44),Faire évoluer Phogleur (niveau 44),,,Mer Banquise,Mer Banquise,"Grotte du Blizzard, Grotte des Stalactites, Caverne du Glacier","Grotte du Blizzard, Grotte des Stalactites, Caverne du Glacier",??,,,
0366,Coquiperl,,,,,,,,Fond Marin,Fond Marin,Fond Marin,Indisponible,Indisponible,"Route 219, Route 221","Route 219, Route 221",Indisponible,Chenal 19 (Essaim),Chenal 19 (Essaim),Route 4 (Pêche),Route 4 (Pêche),Route 4 (Pêche),Route 4 (Pêche),Route 12 (Super Canne),Route 12 (Super Canne),Fond Marin,Fond Marin,Échange,Échange,"Route 15, Mer de Mele-Mele (Canne à Pêche*)","Route 15, Mer de Mele-Mele (Canne à Pêche*)",,,Incompatible,Incompatible,"Grotte des Eaux Souterraines, Grotte de la Rivière, Caverne du Miroir d'Eau Méga Canne : Route 219, Route 221","Grotte des Eaux Souterraines, Grotte de la Rivière, Caverne du Miroir d'Eau Méga Canne : Route 219, Route 221",Incompatible,,,
0367,Serpang,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,"Route 4 (Pêche), Faire évoluer Coquiperl par Échange en tenant une Dent Océan",Indisponible,"Route 4 (Pêche), Faire évoluer Coquiperl par Échange en tenant une Dent Océan",Indisponible,"Route 12 (Méga Canne), Faire évoluer Coquiperl par Échange en tenant une Dent Océan",Indisponible,Indisponible,Indisponible,Échange,Échange,La nuit : Intrusion* (Coquiperl*),La nuit : Intrusion* (Coquiperl*),,,Incompatible,Incompatible,Faire évoluer Coquiperl (Échange en tenant une Dent Océan),Faire évoluer Coquiperl (Échange en tenant une Dent Océan),Incompatible,,,
0368,Rosabyss,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,"Route 4 (Pêche), Faire évoluer Coquiperl par Échange en tenant une Écaille Océan",Indisponible,"Route 4 (Pêche), Faire évoluer Coquiperl par Échange en tenant une Écaille Océan",Indisponible,"Route 12 (Méga Canne), Faire évoluer Coquiperl par Échange en tenant une Écaille Océan",Indisponible,Indisponible,Échange,Échange,La journée : Intrusion* (Coquiperl*),La journée : Intrusion* (Coquiperl*),,,Incompatible,Incompatible,Faire évoluer Coquiperl (Échange en tenant une Écaille Océan),Faire évoluer Coquiperl (Échange en tenant une Écaille Océan),Incompatible,,,
0369,Relicanth,Mâle,,,,,,,Fond Marin,Fond Marin,Fond Marin,Indisponible,Indisponible,Chenal 226 (Méga Canne),Chenal 226 (Méga Canne),Chenal 226 (Méga Canne),"Route 12 (Essaim, Pêche)","Route 12 (Essaim, Pêche)",Route 4 (Pêche tourbillon),Route 4 (Pêche tourbillon),Route 4 (Pêche tourbillon),Route 4 (Pêche tourbillon),"Roche-sur-Gliffe, Relifac-le-Haut (Méga Canne)","Roche-sur-Gliffe, Relifac-le-Haut (Méga Canne)",Fond Marin,Fond Marin,Prairie de Poni (Canne à Pêche*),Prairie de Poni (Canne à Pêche*),Récif de Poni (Canne à Pêche*),Récif de Poni (Canne à Pêche*),,,"Lac Poké Ball, Expédition Dynamax","Lac Poké Ball, Expédition Dynamax",Méga Canne : Chenal 226,Méga Canne : Chenal 226,Incompatible,,,
0369,Relicanth,Femelle,,,,,,,,,,,,Chenal 226 (Méga Canne),Chenal 226 (Méga Canne),Chenal 226 (Méga Canne),"Route 12 (Essaim, Pêche)","Route 12 (Essaim, Pêche)",Route 4 (Pêche tourbillon),Route 4 (Pêche tourbillon),Route 4 (Pêche tourbillon),Route 4 (Pêche tourbillon),"Roche-sur-Gliffe, Relifac-le-Haut (Méga Canne)","Roche-sur-Gliffe, Relifac-le-Haut (Méga Canne)",Fond Marin,Fond Marin,,,,,,,,,,,,,,
0370,Lovdisc,,,,,,,,"Chenal 128, Éternara (Super Canne et Méga Canne)","Chenal 128, Éternara (Super Canne et Méga Canne)","Chenal 128, Éternara (Super Canne et Méga Canne)",Indisponible,Indisponible,"Route 224, Ligue Pokémon (Méga Canne)","Route 224, Ligue Pokémon (Méga Canne)","Route 224, Ligue Pokémon (Méga Canne)","Route 27 (Essaim, Surf)","Route 27 (Essaim, Surf)","Route 4, Route 13, Port Yoneuve, Vaguelone, Baie Vaguelone (Pêche, Pêche Tourbillon)","Route 4, Route 13, Port Yoneuve, Vaguelone, Baie Vaguelone (Pêche, Pêche Tourbillon)","Route 13, Chenal 21, Vaguelone, Papeloa, Grotte Littorale (Pêche)","Route 13, Chenal 21, Vaguelone, Papeloa, Grotte Littorale (Pêche)",Côtes de Kalos (Canne),Côtes de Kalos (Canne),"Chenal 128, Éternara, Route Victoire (Super Canne et Méga Canne)","Chenal 128, Éternara, Route Victoire (Super Canne et Méga Canne)","Route 9, Mer de Mele-Mele* (Canne à Pêche*)","Route 9, Mer de Mele-Mele* (Canne à Pêche*)","Route 9, Mer de Mele-Mele* (Canne à Pêche*)","Route 9, Mer de Mele-Mele* (Canne à Pêche*)",,,Incompatible,Incompatible,"Méga Canne : Route 224, Ligue Pokémon","Méga Canne : Route 224, Ligue Pokémon",Incompatible,-,,
0371,Draby,,,,,,,,Site Météore (Chambre interne),Site Météore (Chambre interne),Site Météore (Chambre interne),Indisponible,Indisponible,Indisponible,Route 210 (Poké Radar),Route 210 (Poké Radar),"Parc Safari (Zone Bois et Lac, avec 9 blocs sylvestres et 19 blocs rocheux, après 110 jours)","Parc Safari (Zone Bois et Lac, avec 9 blocs sylvestres et 19 blocs rocheux, après 110 jours)",Indisponible,Forêt Blanche (avec Grace dans la forêt),Trouée Cachée (Forêt d'Empoigne*),Trouée Cachée (Forêt d'Empoigne*),Route 8,Route 8,Site Météore (Chambre Interne Marche et Horde),Site Météore (Chambre Interne Marche et Horde),"Route 3*, Baie de Kala'e (hautes herbes)","Route 3*, Baie de Kala'e (hautes herbes)","Route 3*, Baie de Kala'e (hautes herbes)","Route 3*, Baie de Kala'e (hautes herbes)",,,Galeries Monte-Pic,Échange,"Route 210 (Poké Radar), Échange","Route 210 (Poké Radar), Grotte Spacieuse, Grotte Éblouissante, Caverne de la Nuit Étoilée",Incompatible,,,
0372,Drackhaus,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,"Parc Safari (Zone Terre Humide, avec 21 blocs rocheux, après 70 jours)","Parc Safari (Zone Terre Humide, avec 21 blocs rocheux, après 70 jours)",Indisponible,Indisponible,Indisponible,Indisponible,"Safari des Amis Dragon, position 2 (0018-1380-4915)","Safari des Amis Dragon, position 2 (0018-1380-4915)",Indisponible,Indisponible,Intrusion* (Draby*),Intrusion* (Draby*),Intrusion* (Draby*),Intrusion* (Draby*),,,Faire évoluer Draby (niveau 30),Échange,Échange,"Grotte Spacieuse, Grotte Éblouissante, Caverne de la Nuit Étoilée",Incompatible,,,
0373,Drattak,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Intrusion* (Draby*),Intrusion* (Draby*),Intrusion* (Draby*),Intrusion* (Draby*),,,"Galeries Monte-Pic, Sentier Blanche-Cime",Échange,Échange,Faire évoluer Drackhaus (Niveau 50),Incompatible,,,
0374,Terhal,,,,,,,,Donné à Algatia dans la maison de Pierre,Donné à Algatia dans la maison de Pierre,Donné à Algatia dans la maison de Pierre,Indisponible,Indisponible,Route 228 (Essaim),Route 228 (Essaim),Route 228 (Essaim),"Parc Safari (Zone Bois, avec 29 blocs rocheux, après 120 jours), Échange contre un Foretress à la Sylphe SARL","Parc Safari (Zone Bois, avec 29 blocs rocheux, après 120 jours), Échange contre un Foretress à la Sylphe SARL",Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,"Donné à Algatia dans la maison de Pierre, une fois la Ligue Pokémon d'Éternara battue","Donné à Algatia dans la maison de Pierre, une fois la Ligue Pokémon d'Éternara battue",Mont Hokulani,Mont Hokulani,Mont Hokulani,Mont Hokulani,,,Pente Enneigée,Pente Enneigée,"Route 228 (troupeau), Grotte des Rochers, Grotte du Blizzard, Grotte des Stalactites, Caverne du Piton, Caverne du Glacier","Route 228 (troupeau), Grotte des Rochers, Grotte du Blizzard, Grotte des Stalactites, Caverne du Piton, Caverne du Glacier",Incompatible,-,,
0375,Métang,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,"Parc Safari (Zone Montagne, avec 28 blocs rocheux, après 30 jours)","Parc Safari (Zone Montagne, avec 28 blocs rocheux, après 30 jours)",Grotte Cyclopéenne (Forêt du Cratère),Grotte Cyclopéenne (Forêt du Cratère),"Grotte Cyclopéenne (Forêt du Cratère), Trouée Cachée (Grotte Cyclopéenne)","Grotte Cyclopéenne (Forêt du Cratère), Trouée Cachée (Grotte Cyclopéenne)","Safari des Amis Acier, position 2 (3153-4670-3413)","Safari des Amis Acier, position 2 (3153-4670-3413)",Indisponible,Indisponible,Faire évoluer Terhal (niveau 20),Faire évoluer Terhal (niveau 20),Faire évoluer Terhal (niveau 20),Faire évoluer Terhal (niveau 20),,,"Pente Enneigée, Expédition Dynamax","Pente Enneigée, Expédition Dynamax",Faire évoluer Terhal (Niveau 20),Faire évoluer Terhal (Niveau 20),Incompatible,-,,
0376,Métalosse,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Grotte Cyclopéenne (Forêt du Cratère) (Herbes mouvantes),Grotte Cyclopéenne (Forêt du Cratère) (Herbes mouvantes),Grotte Cyclopéenne (Forêt du Cratère) (Herbes mouvantes),Grotte Cyclopéenne (Forêt du Cratère) (Herbes mouvantes),Indisponible,Indisponible,Indisponible,Indisponible,Faire évoluer Métang (niveau 45),Faire évoluer Métang (niveau 45),Faire évoluer Métang (niveau 45),Faire évoluer Métang (niveau 45),,,Pente Enneigée,Pente Enneigée,Faire évoluer Métang (Niveau 45),Faire évoluer Métang (Niveau 45),Incompatible,,,
0377,Regirock,,,,,,,,Ruines Désert (après avoir résolu l'énigme du Sanctuaire),Ruines Désert (après avoir résolu l'énigme du Sanctuaire),Ruines Désert (après avoir résolu l'énigme du Sanctuaire),Indisponible,Indisponible,Indisponible,Indisponible,Route 228 avec un Regigigas évènementiel dans l'équipe,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Ruines Désert (après l'énigme du Sanctuaire),Ruines Désert (après l'énigme du Sanctuaire),Échange,Échange,"Ultra-Dimension, brèche jaune","Ultra-Dimension, brèche jaune",,,Ruines Pic Roche,Ruines Pic Roche,Salle des Guides dans le Parc Rosa Rugosa (nécessite une Tablette Guides),Salle des Guides dans le Parc Rosa Rugosa (nécessite une Tablette Guides),Incompatible,,,
0378,Regice,,,,,,,,Grotte de l'Îlot (après avoir résolu l'énigme du Sanctuaire),Grotte de l'Îlot (après avoir résolu l'énigme du Sanctuaire),Grotte de l'Îlot (après avoir résolu l'énigme du Sanctuaire),Indisponible,Indisponible,Indisponible,Indisponible,Mont Couronné avec un Regigigas évènementiel dans l'équipe,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Grotte de l'Îlot (après l'énigme du Sanctuaire),Grotte de l'Îlot (après l'énigme du Sanctuaire),Échange,Échange,"Ultra-Dimension, brèche jaune","Ultra-Dimension, brèche jaune",,,Ruines Iceberg,Ruines Iceberg,Salle des Guides dans le Parc Rosa Rugosa (nécessite une Tablette Guides),Salle des Guides dans le Parc Rosa Rugosa (nécessite une Tablette Guides),Incompatible,,,
0379,Registeel,,,,,,,,Tombeau Antique (après avoir résolu l'énigme du Sanctuaire),Tombeau Antique (après avoir résolu l'énigme du Sanctuaire),Tombeau Antique (après avoir résolu l'énigme du Sanctuaire),Indisponible,Indisponible,Indisponible,Indisponible,Île de Fer avec un Regigigas évènementiel dans l'équipe,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Tombeau Antique (après l'énigme du Sanctuaire),Tombeau Antique (après l'énigme du Sanctuaire),Échange,Échange,"Ultra-Dimension, brèche jaune","Ultra-Dimension, brèche jaune",,,Ruines de Fer,Ruines de Fer,Salle des Guides dans le Parc Rosa Rugosa (nécessite une Tablette Guides),Salle des Guides dans le Parc Rosa Rugosa (nécessite une Tablette Guides),Incompatible,,,
0380,Latias,,,,,,,,Île du Sud avec le Passe Éon (Évènement Nintendo),Pokémon mouvant après avoir vaincu la Ligue,Pokémon mouvant après avoir vaincu la Ligue,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Pokémon mouvant de Kanto après avoir parlé à Pierre Rochard à Carmin sur Mer,Événement du Mystécristal,Indisponible,Indisponible,Indisponible,Vestiges du Rêve,Indisponible,Indisponible,Île du Sud avec le Passe Éon,Donné pendant l'aventure avec la Latiasite,Échange,Échange,Ultra-Dimension,"Ultra-Dimension, brèche bleue",,,Expédition Dynamax,Expédition Dynamax,Salle du Cœur dans le Parc Rosa Rugosa (nécessite une Tablette Cœur),Salle du Cœur dans le Parc Rosa Rugosa (nécessite une Tablette Cœur),Incompatible,,,
0381,Latios,,,,,,,,Pokémon mouvant après avoir vaincu la Ligue,Île du Sud avec le Passe Éon (Évènement Nintendo),Pokémon mouvant après avoir vaincu la Ligue,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Événement du Mystécristal,Pokémon mouvant de Kanto après avoir parlé à Pierre Rochard à Carmin sur Mer,Indisponible,Indisponible,Vestiges du Rêve,Indisponible,Indisponible,Indisponible,Donné pendant l'aventure avec la Latiasite,Île du Sud avec le Passe Éon,Échange,Échange,"Ultra-Dimension, brèche bleue",Ultra-Dimension,,,Expédition Dynamax,Expédition Dynamax,Salle du Cœur dans le Parc Rosa Rugosa (nécessite une Tablette Cœur),Salle du Cœur dans le Parc Rosa Rugosa (nécessite une Tablette Cœur),Incompatible,,,
0382,Kyogre,,,,,,,,Indisponible,Fond de la Grotte Origine,Intérieur de la Grotte Marine,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Tour Enfouie (avec l'Orbe Bleu),Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Fond de la Grotte Origine,Échange,Échange,Ultra-Dimension,"Ultra-Dimension, brèche bleue",,,Expédition Dynamax,Expédition Dynamax,Salle des Océans dans le Parc Rosa Rugosa (nécessite une Tablette Océans),Salle des Océans dans le Parc Rosa Rugosa (nécessite une Tablette Océans),Incompatible,,,
0383,Groudon,,,,,,,,Fond de la Grotte Origine,Indisponible,Intérieur de la Grotte Terra,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Tour Enfouie (avec l'Orbe Rouge),Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Fond de la Grotte Origine,Indisponible,Échange,Échange,"Ultra-Dimension, brèche jaune",Ultra-Dimension,,,Expédition Dynamax,Expédition Dynamax,Salle des Continents dans le Parc Rosa Rugosa (nécessite une Tablette Continents),Salle des Continents dans le Parc Rosa Rugosa (nécessite une Tablette Continents),Incompatible,,,
0384,Rayquaza,,,,,,,,Sommet du Pilier Céleste,Sommet du Pilier Céleste,Sommet du Pilier Céleste,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Tour Enfouie (avec l'Orbe Vert),Tour Enfouie (avec l'Orbe Vert),Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Sommet du Pilier Céleste pendant l'Épisode Delta,Sommet du Pilier Céleste pendant l'Épisode Delta,Échange,Échange,"Ultra-Dimension, brèche rouge, nécessite Kyogre et Groudon dans l'équipe","Ultra-Dimension, brèche rouge, nécessite Kyogre et Groudon dans l'équipe",,,Expédition Dynamax,Expédition Dynamax,Salle des Cieux dans le Parc Rosa Rugosa (nécessite une Tablette Cieux),Salle des Cieux dans le Parc Rosa Rugosa (nécessite une Tablette Cieux),Incompatible,,,
